College _name,city,State,Rank,Rating,Fees
IIT Madras,Chennai,Tamil Nadu,1,4.3,18.965
IISc Bangalore,"Bangalore, Karnataka",Karnataka,2,4.1,18.965
IIT Bombay,"Mumbai, Maharashtra",Maharashtra,3,4.3,7
IIT Delhi,Delhi,Delhi NCR,4,4,18.965
Online Manipal,Jaipur,Rajasthan,5,4.4,18.965
Vignan Online,Guntur,Andhra Pradesh,6,4.2,18.965
IIT Kanpur,Kanpur,Uttar Pradesh,7,4.4,18.965
IIT Kharagpur,Kharagpur, West Bengal,9,4.2,18.965
IIT Roorkee,Roorkee, Uttarakhand,8,4.1,18.965
IIT Guwahati,Guwahati,Assam,9,4.1,18.965
JNU,"Delhi, Delhi NCR",Delhi NCR,10,3.8,18.965
BHU,Varanasi, Uttar Pradesh,11,4,18.965
Calcutta University,Kolkata,West Bengal,26,2.8,28
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,18,3.9,18.965
Jamia Millia Islamia (JMI),Delhi,Delhi NCR,13,3.2,18.965
Jadavpur University,Kolkata,West Bengal,17,4.1,18.965
Manipal Academy of Higher Education (Manipal University),Udupi,Karnataka,14,3.1,18.965
IIT Hyderabad,Hyderabad, Telangana,12,3.8,19.8
University of Hyderabad (UOH),Hyderabad, Telangana,25,3.8,18.965
AMU,Aligarh, Uttar Pradesh,16,3.3,18.965
Delhi University (DU),Delhi,Delhi NCR,15,3.2,18.965
UniPune (SPPU),Pune,Maharashtra,37,3.3,18.965
Vellore Institute of Technology,Vellore,Tamil Nadu,35,4.2,18.965
Bharathiar University,Coimbatore, Tamil Nadu,44,3.2,38.8
NIT Trichy,Tiruchirappalli,Tamil Nadu,31,3.4,18.965
IISER Pune,Pune, Maharashtra,42,4,18.965
Anna University,"Chennai, Tamil Nadu",Tamil Nadu,20,3.2,18.965
IIT (ISM) Dhanbad,Dhanbad,Jharkhand,35,3.9,18.965
ICT Mumbai,Mumbai, Maharashtra,56,3.8,1.225
